Mod:Item:MetaData, Localized Name
hbm:tile.spikes, Шипы
hbm:tile.tesla, Катушка Теслы
hbm:tile.charger, Станция зарядки
hbm:tile.block_meteor, Блок метеорита
hbm:tile.block_meteor_cobble, Метеоритный булыжник
hbm:tile.block_meteor_broken, Разбитый блок метеорита
hbm:tile.block_meteor_molten, Горячий метеоритный булыжник
hbm:tile.block_meteor_treasure, Блок метеоритных сокровищ
hbm:tile.meteor_polished, Полированный метеоритный блок
hbm:tile.meteor_brick, Метеоритные кирпичи
hbm:tile.meteor_brick_mossy, Замшелые метеоритные кирпичи
hbm:tile.meteor_brick_cracked, Треснувшие метеоритные кирпичи
hbm:tile.meteor_brick_chiseled, Высеченные метеоритные кирпичи
hbm:tile.meteor_pillar, Метеоритный столб
hbm:tile.meteor_spawner, Сборщик киберкрабов
hbm:tile.meteor_battery, Генератор статического электричества из звездного металла
hbm:tile.brick_jungle, Энаргитовые кирпичи
hbm:tile.brick_jungle_cracked, Потресканные энаргитовые кирпичи
hbm:tile.brick_jungle_fragile, Хрупкие энаргитовые кирпичи
hbm:tile.brick_jungle_lava, Магматические энаргитовые кирпичи
hbm:tile.brick_jungle_ooze, Радиоактивные энаргитовые кирпичи
hbm:tile.brick_jungle_mystic, Магические энаргитовые кирпичи
hbm:tile.brick_jungle_trap:0, Энаргитовые кирпичи-ловушка
hbm:tile.brick_jungle_trap:1, Энаргитовые кирпичи-ловушка
hbm:tile.brick_jungle_trap:2, Энаргитовые кирпичи-ловушка
hbm:tile.brick_jungle_trap:3, Энаргитовые кирпичи-ловушка
hbm:tile.brick_jungle_trap:4, Энаргитовые кирпичи-ловушка
hbm:tile.brick_jungle_trap:5, Энаргитовые кирпичи-ловушка
hbm:tile.brick_jungle_trap:6, Энаргитовые кирпичи-ловушка
hbm:tile.brick_jungle_trap:7, Энаргитовые кирпичи-ловушка
hbm:tile.brick_jungle_trap:8, Энаргитовые кирпичи-ловушка
hbm:tile.brick_jungle_trap:9, Энаргитовые кирпичи-ловушка
hbm:tile.brick_jungle_trap:10, Энаргитовые кирпичи-ловушка
hbm:tile.brick_jungle_trap:11, Энаргитовые кирпичи-ловушка
hbm:tile.brick_jungle_trap:12, Энаргитовые кирпичи-ловушка
hbm:tile.brick_jungle_trap:13, Энаргитовые кирпичи-ловушка
hbm:tile.brick_jungle_trap:14, Энаргитовые кирпичи-ловушка
hbm:tile.brick_jungle_glyph:0, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_glyph:1, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_glyph:2, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_glyph:3, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_glyph:4, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_glyph:5, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_glyph:6, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_glyph:7, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_glyph:8, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_glyph:9, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_glyph:10, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_glyph:11, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_glyph:12, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_glyph:13, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_glyph:14, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_glyph:15, Энаргитовые кирпичи с глифами
hbm:tile.brick_jungle_circle, Круг Механиста
hbm:tile.brick_forgotten, tile.brick_forgotten.name
hbm:tile.brick_red, Кирпичи красной комнаты
hbm:tile.deco_computer:0, Персональный компьютер IBM 300PL
hbm:tile.deco_crt:0, Старый ЭЛТ-экран
hbm:tile.deco_crt:1, Старый ЭЛТ-экран
hbm:tile.deco_crt:2, Старый ЭЛТ-экран
hbm:tile.deco_crt:3, Старый ЭЛТ-экран
hbm:tile.deco_toaster:0, Сломанный тостер
hbm:tile.deco_toaster:1, Сломанный тостер
hbm:tile.deco_toaster:2, Сломанный тостер
hbm:tile.filing_cabinet:0, Пыльный карточеный шкафчик
hbm:tile.filing_cabinet:1, Стальной карточеный шкафчик
hbm:tile.tape_recorder, Магнитофон
hbm:tile.steel_poles, Стальные опоры
hbm:tile.pole_top, Антенна
hbm:tile.pole_satellite_receiver, Спутниковая тарелка
hbm:tile.steel_wall, Стальная стенка
hbm:tile.steel_corner, Стальной угол стены
hbm:tile.steel_roof, Плоская стальная крыша
hbm:tile.steel_beam, Стальная балка
hbm:tile.steel_scaffold:0, Стальные подмости
hbm:tile.steel_scaffold:1, Стальные подмости
hbm:tile.steel_scaffold:2, Стальные подмости
hbm:tile.steel_scaffold:3, Стальные подмости
hbm:tile.steel_grate, Стальная решётка
hbm:tile.steel_grate_wide, Предметная решётка
hbm:tile.deco_pipe, Стальная труба
hbm:tile.deco_pipe_rusted, Ржавая стальная труба
hbm:tile.deco_pipe_green, Зелёная стальная труба
hbm:tile.deco_pipe_green_rusted, Ржавая зелёная стальная труба
hbm:tile.deco_pipe_red, Красная стальная труба
hbm:tile.deco_pipe_marked, Газовая труба
hbm:tile.deco_pipe_rim, Стальная труба (Обрамленная)
hbm:tile.deco_pipe_rim_rusted, Ржавая стальная труба (Обрамленная)
hbm:tile.deco_pipe_rim_green, Зелёная стальная труба (Обрамленная)
hbm:tile.deco_pipe_rim_green_rusted, Ржавая зелёная стальная труба (Обрамленная)
hbm:tile.deco_pipe_rim_red, Красная стальная труба (Обрамленная)
hbm:tile.deco_pipe_rim_marked, Газовая труба (Обрамленная)
hbm:tile.deco_pipe_framed, Стальная труба (Каркасный)
hbm:tile.deco_pipe_framed_rusted, Ржавая стальная труба (Каркасный)
hbm:tile.deco_pipe_framed_green, Зелёная стальная труба (Каркасный)
hbm:tile.deco_pipe_framed_green_rusted, Ржавая зелёная стальная труба (Каркасный)
hbm:tile.deco_pipe_framed_red, Красная стальная труба (Каркасный)
hbm:tile.deco_pipe_framed_marked, Газовая труба (Каркасный)
hbm:tile.deco_pipe_quad, Стальные трубы
hbm:tile.deco_pipe_quad_rusted, Ржавые стальные трубы
hbm:tile.deco_pipe_quad_green, Зелёные стальные трубы
hbm:tile.deco_pipe_quad_green_rusted, Ржавые зелёные стальные трубы
hbm:tile.deco_pipe_quad_red, Красные стальные трубы
hbm:tile.deco_pipe_quad_marked, Газовые трубы
hbm:tile.plant_flower:0, Наперстянка
hbm:tile.plant_flower:1, Табак
hbm:tile.plant_flower:2, Белладонна
hbm:tile.plant_flower:3, Конопля
hbm:tile.plant_flower:4, Горчичная ива
hbm:tile.plant_flower:5, Горчичная ива
hbm:tile.plant_tall:0, Конопля
hbm:tile.plant_tall:1, Горчичная ива
hbm:tile.plant_tall:2, Горчичная ива
hbm:tile.plant_tall:3, Горчичная ива (Выросла)
hbm:tile.plant_dead:0, Мертвое растение
hbm:tile.plant_dead:1, Мертвое растение
hbm:tile.plant_dead:2, Мертвое растение
hbm:tile.plant_dead:3, Мертвое растение
hbm:tile.plant_dead:4, Мертвое растение
hbm:tile.plant_reeds, Камыши
hbm:tile.mush, Светящийся гриб
hbm:tile.mush_block, Giant Glowing Mushroom Block
hbm:tile.mush_block_stem, Giant Glowing Mushroom Stem
hbm:tile.glyphid_base:0, Блок улья глифидов
hbm:tile.glyphid_base:1, Блок улья глифидов
hbm:tile.glyphid_spawner:0, Спавнер улья глифидов
hbm:tile.glyphid_spawner:1, Спавнер улья глифидов
hbm:tile.moon_turf, Лунный грунт
hbm:tile.waste_earth, Мертвая трава
hbm:tile.waste_mycelium, Светящийся мицелий
hbm:tile.waste_trinitite, Тринититовая руда
hbm:tile.waste_trinitite_red, Красная тринититовая руда
hbm:tile.waste_log, Обугленное бревно
hbm:tile.waste_leaves, Мёртвые листья
hbm:tile.waste_planks, Обугленные деревянные доски
hbm:tile.frozen_grass, Замороженная трава
hbm:tile.frozen_dirt, Замороженная земля
hbm:tile.frozen_log, Замороженное бревно
hbm:tile.frozen_planks, Замороженные доски
hbm:tile.dirt_dead, Мертвая земля
hbm:tile.dirt_oily, Пропитанная нефтью земля
hbm:tile.sand_dirty, Пропитанный нефтью песок
hbm:tile.sand_dirty_red, Пропитанный нефтью красный песок
hbm:tile.stone_cracked, Треснутый камень
hbm:tile.fallout, Радиоактивный осадок
hbm:tile.foam_layer, Слой пены
hbm:tile.sand_boron_layer, Слой борного песка
hbm:tile.leaves_layer, Упавшие листья
hbm:tile.oil_spill, Разлитая нефть
hbm:tile.burning_earth, Горящая трава
hbm:tile.tektite, Тектит
hbm:tile.ore_tektite_osmiridium, Перемешанный с осмиридием Тектит
hbm:tile.impact_dirt, Выжженая земля
hbm:tile.sellafield_slaked, Погашенный селлафит
hbm:tile.sellafield_bedrock, Bedrock Sellafite
hbm:tile.ore_sellafield_diamond, Селлафитовая алмазная руда
hbm:tile.ore_sellafield_emerald, Селлафитовая изумрудная руда
hbm:tile.ore_sellafield_uranium_scorched, Обожженная селлафитовая урановая руда
hbm:tile.ore_sellafield_schrabidium, Селлафитовая шрабидиевая руда
hbm:tile.ore_sellafield_radgem, Селлафитовый радиоактивный самоцвет
hbm:tile.sellafield:0, Селлафит
hbm:tile.sellafield:1, Горячий селлафит
hbm:tile.sellafield:2, Кипящий селлафит
hbm:tile.sellafield:3, Пылающий селлафит
hbm:tile.sellafield:4, Адский селлафит
hbm:tile.sellafield:5, Селлафит-кориум
hbm:tile.geysir_water, tile.geysir_water.name
hbm:tile.geysir_chlorine, tile.geysir_chlorine.name
hbm:tile.geysir_vapor, tile.geysir_vapor.name
hbm:tile.geysir_nether, tile.geysir_nether.name
hbm:tile.nuke_gadget, Гаджет
hbm:tile.nuke_boy, Малыш
hbm:tile.nuke_man, Толстяк
hbm:tile.nuke_mike, Иви Майк
hbm:tile.nuke_tsar, Царь-бомба
hbm:tile.nuke_prototype, Прототип
hbm:tile.nuke_fleija, Ф.Л.Е.Я
hbm:tile.nuke_solinium, Синий Ополаскиватель
hbm:tile.nuke_n2, N²-мина 
hbm:tile.nuke_fstbmb, Жар-бомба
hbm:tile.nuke_custom, Кастомная бомба
hbm:tile.bomb_multi, Многоцелевая бомба
hbm:tile.crashed_bomb, Неразорвавшаяся бомба
hbm:tile.fireworks, Батарея фейерверков
hbm:tile.dynamite, Динамит
hbm:tile.tnt_ntm, Настоящий ТНТ
hbm:tile.semtex, Семтекс
hbm:tile.c4, C-4
hbm:tile.fissure_bomb, Вулканическая бомба
hbm:tile.turret_chekhov, Крупнокалиберная пулеметная турель "Чеховское ружьё"
hbm:tile.turret_friendly, Турель Гатлинга "Мистер Дружелюбный"
hbm:tile.turret_jeremy, Автопушка "Джереми"
hbm:tile.turret_tauon, Прототип турели XVL1456 "Тауон"
hbm:tile.turret_richard, Ракетная турель "Ричард"
hbm:tile.turret_howard, Двойная турель Гатлинга CIWS "Говард"
hbm:tile.turret_howard_damaged, Двойная турель Гатлинга CIWS "Мафусаил"
hbm:tile.turret_maxwell, Высокоэнергетическая Мазерная турель "Максвелл"
hbm:tile.turret_fritz, Тяжелая огнеметная турель "Фриц"
hbm:tile.turret_arty, Артиллерийская турель "Грег"
hbm:tile.turret_himars, Ракетная артиллерийская турель "Генри"
hbm:tile.turret_sentry, Сторожевая турель "Браун"
hbm:tile.turret_sentry_damaged, Сторожевая турель "Эдвин"
hbm:tile.charge_dynamite, Бомба с таймером
hbm:tile.charge_miner, Шахтёрский заряд с таймером
hbm:tile.charge_c4, Подрывной заряд
hbm:tile.charge_semtex, Шахтёрский заряд с семтексом
hbm:tile.mine_ap, Противопехотная мина
hbm:tile.mine_he, Противотанковая мина
hbm:tile.mine_shrap, Мина со шрапнелью
hbm:tile.mine_fat, Мина-"Толстяк"
hbm:tile.flame_war, Война в коробке
hbm:tile.float_bomb, Левитационная бомба
hbm:tile.therm_endo, Эндотермическая бомба
hbm:tile.therm_exo, Экзотермическая бомба
hbm:tile.emp_bomb, ЭМИ-бомба
hbm:tile.det_cord, Детонирующий шнур
hbm:tile.det_charge, Заряд взрывчатки
hbm:tile.det_nuke, Ядерный заряд
hbm:tile.det_miner, Шахтёрский заряд
hbm:tile.red_barrel, Взрывная бочка
hbm:tile.pink_barrel, Керосиновая бочка
hbm:tile.lox_barrel, Бочка с жидким кислородом
hbm:tile.taint_barrel, Бочка с осадком IMP
hbm:tile.yellow_barrel, Радиоктивная бочка
hbm:tile.vitrified_barrel, Бочка с остеклованными ядерными отходами
hbm:tile.machine_siren, Сирена
hbm:tile.broadcaster_pc, Повреждённый передатчик
hbm:tile.geiger, Счетчик Гейгера
hbm:tile.hev_battery, Батарея костюма
hbm:tile.fence_metal:0, Проволочная сетка
hbm:tile.fence_metal:1, Столб проволочной сетки
hbm:tile.ash_digamma, Пепел
hbm:tile.sand_boron, Борный песок
hbm:tile.sand_lead, Свинцовый песок
hbm:tile.sand_uranium, Урановый песок
hbm:tile.sand_polonium, Полониевый песок
hbm:tile.sand_quartz, Кварцевый песок
hbm:tile.glass_boron, Борное стекло
hbm:tile.glass_lead, Свинцовое стекло
hbm:tile.glass_uranium, Урановое стекло
hbm:tile.glass_trinitite, Тринититовое стекло
hbm:tile.glass_polonium, Полониевое стекло
hbm:tile.glass_ash, Пепельное стекло
hbm:tile.glass_quartz, Кварцевое стекло
hbm:tile.seal_frame, Рама люка пусковой щахты
hbm:tile.seal_controller, Открыватель люка пусковой щахты
hbm:tile.seal_hatch, Люк пусковой шахты
hbm:tile.vault_door, Дверь убежища Vault-Tec
hbm:tile.blast_door, Раздвижные двери
hbm:tile.fire_door, Пожарная дверь
hbm:tile.transition_seal, Транзитный люк
hbm:tile.silo_hatch, Силосный люк
hbm:tile.silo_hatch_large, Большой силосный люк
hbm:tile.sliding_blast_door, Раздвижная дверь
hbm:tile.door_metal, Металлическая дверь
hbm:tile.door_office, Офисная дверь
hbm:tile.door_bunker, Бункерная дверь
hbm:tile.door_red, Красная дверь
hbm:tile.secure_access_door, Дверь с изолированным доступом
hbm:tile.large_vehicle_door, Дверь для крупногабаритных автомобилей
hbm:tile.qe_containment, QE Дверь биологического сдерживания
hbm:tile.qe_sliding_door, QE Раздвижная дверь
hbm:tile.round_airlock_door, Круглый шлюз
hbm:tile.sliding_seal_door, Раздвижная герметичная дверь
hbm:tile.water_door, Подводная дверь
hbm:tile.crate_iron:0, Железный ящик
hbm:tile.crate_steel:0, Стальной ящик
hbm:tile.crate_desh:0, Деш-ящик
hbm:tile.crate_tungsten:0, Вольфрамовый ящик
hbm:tile.crate_template:0, Сборочный ящик
hbm:tile.safe:0, Сейф
hbm:tile.mass_storage:3, Накопительный блок
hbm:tile.mass_storage:0, Накопительный блок
hbm:tile.mass_storage:1, Накопительный блок
hbm:tile.mass_storage:2, Накопительный блок
hbm:tile.boxcar, Грузовой вагон
hbm:tile.boat, Лодка
hbm:tile.machine_autocrafter, Автоматический верстак
hbm:tile.machine_funnel, Комбинаторная воронка
hbm:tile.anvil_iron, Железная наковальня
hbm:tile.anvil_lead, Свинцовая наковальня
hbm:tile.anvil_steel, Стальная наковальня
hbm:tile.anvil_desh, Деш-наковальня
hbm:tile.anvil_saturnite, Сатурнитовая наковальня
hbm:tile.anvil_ferrouranium, Ферроураниевая наковальня
hbm:tile.anvil_bismuth_bronze, Наковальня из висмутовой бронзы
hbm:tile.anvil_arsenic_bronze, Наковальня из мышьяковой бронзы
hbm:tile.anvil_schrabidate, Наковальня из шрабидата железа
hbm:tile.anvil_dnt, Динейтрониевая наковальня
hbm:tile.anvil_osmiridium, Осмиридиевая наковальня
hbm:tile.anvil_murky, Мрачная наковальня
hbm:tile.press_preheater, Внешний нагреватель пресса
hbm:tile.machine_press, Пресс
hbm:tile.machine_epress, Электрический пресс
hbm:tile.machine_conveyor_press, Конвейерный пресс
hbm:tile.pump_steam, Паровой насос для грунтовых вод
hbm:tile.pump_electric, Электрический насос для грунтовых вод
hbm:tile.heater_firebox, Топка
hbm:tile.heater_oven, Нагревательная печь
hbm:tile.machine_ashpit, Зольник
hbm:tile.heater_oilburner, Жидкостный бойлер
hbm:tile.heater_electric, Электрический нагреватель
hbm:tile.heater_heatex, Теплообменный нагреватель
hbm:tile.furnace_iron, Железная печь
hbm:tile.furnace_steel, Стальная печь
hbm:tile.furnace_combination, Коксовая печь
hbm:tile.machine_stirling:0, Генератор Стирлинга
hbm:tile.machine_stirling_steel:0, Укреплённый генератор Стирлинга
hbm:tile.machine_stirling_creative:0, Творческий генератор Стирлинга
hbm:tile.machine_sawmill, Лесопилка на генераторе Стирлинга
hbm:tile.machine_crucible, Плавильня
hbm:tile.machine_strand_caster, Машина непрерывного литья заготовок
hbm:tile.machine_boiler:0, Бойлер
hbm:tile.machine_industrial_boiler, Промышленный бойлер
hbm:tile.foundry_mold, Малый литейный резервуар
hbm:tile.foundry_basin, Литейный резервуар
hbm:tile.foundry_channel, Литейный канал
hbm:tile.foundry_tank, Литейный бассейн
hbm:tile.foundry_outlet, Литейный спуск
hbm:tile.foundry_slagtap, Литейный спуск для шлака
hbm:tile.slag, tile.slag.name
hbm:tile.machine_furnace_brick_off, Кирпичная печь
hbm:tile.machine_furnace_brick_on, Кирпичная печь
hbm:tile.machine_difurnace_off, Доменная печь
hbm:tile.machine_difurnace_on, Доменная печь
hbm:tile.machine_difurnace_extension, Расширитель доменной печи
hbm:tile.machine_difurnace_rtg_off, Ядерная доменная печь
hbm:tile.machine_difurnace_rtg_on, Ядерная доменная печь
hbm:tile.machine_centrifuge, Центрифуга
hbm:tile.machine_gascent, Газовая центрифуга
hbm:tile.machine_fel, Лазер на свободных электронах (FEL)
hbm:tile.machine_silex, Камера лазерного разделения изотопов (SILEX)
hbm:tile.machine_crystallizer, Рудный окислитель
hbm:tile.machine_uf6_tank, Бочка гексафторида урана
hbm:tile.machine_puf6_tank, Бочка гексафторида плутония
hbm:tile.machine_reactor, Реактор-размножитель
hbm:tile.machine_nuke_furnace_off, Ядерная печь
hbm:tile.machine_nuke_furnace_on, Ядерная печь
hbm:tile.machine_rtg_furnace_off, РИТЭГ-печь
hbm:tile.machine_rtg_furnace_on, РИТЭГ-печь
hbm:tile.machine_wood_burner, Генератор на дровах
hbm:tile.machine_diesel, Дизельный генератор
hbm:tile.machine_combustion_engine, Промышленный двигатель внутреннего сгорания
hbm:tile.machine_controller, Блок удалённого доступа к реактору
hbm:tile.machine_reactor_small, Исследовательский реактор
hbm:tile.machine_zirnox, Ядерный реактор Цирнокс
hbm:tile.zirnox_destroyed, Разрушенный Цирнокс
hbm:tile.machine_industrial_generator, Промышленный генератор
hbm:tile.machine_radgen, Радиационный двигатель
hbm:tile.machine_cyclotron, Циклотрон
hbm:tile.machine_exposure_chamber, Камера облучения частицами
hbm:tile.machine_rtg_grey, РИТЭГ-генератор
hbm:tile.machine_geo, Геотермальный генератор
hbm:tile.machine_amgen, Генератор на фоновой радиации
hbm:tile.machine_minirtg, Радиоизотопная ячейка
hbm:tile.machine_powerrtg, ПТ-изотопная ячейка
hbm:tile.machine_radiolysis, Радиоизотопный термоэлектрический генератор и камера радиолиза
hbm:tile.machine_hephaestus, Геотермальный теплообменик
hbm:tile.machine_spp_bottom, Генератор потенциала ZPE (низ)
hbm:tile.machine_spp_top, Генератор потенциала ZPE (верх)
hbm:tile.hadron_plating, Обшивка ускорителя частиц
hbm:tile.hadron_plating_blue, Обшивка ускорителя частиц (Синий)
hbm:tile.hadron_plating_black, Обшивка ускорителя частиц (Чёрный)
hbm:tile.hadron_plating_yellow, Обшивка ускорителя частиц (Жёлтый)
hbm:tile.hadron_plating_striped, Обшивка ускорителя частиц (Крутые полосы опасности)
hbm:tile.hadron_plating_glass, Обшивка ускорителя частиц (Окошко)
hbm:tile.hadron_plating_voltz, Обшивка ускорителя частиц (ВОЛЬТЗ)
hbm:tile.hadron_coil_alloy, Плотная сверхпроводящая катушка
hbm:tile.hadron_coil_gold, Плотная золотая катушка
hbm:tile.hadron_coil_neodymium, Плотная неодимовая катушка
hbm:tile.hadron_coil_magtung, Плотная сверхпроводящая 4000K катушка
hbm:tile.hadron_coil_schrabidium, Плотная шрабидиевая катушка
hbm:tile.hadron_coil_schrabidate, Плотная шрабидатавая катушка
hbm:tile.hadron_coil_starmetal, Плотная звёзднометаллическая катушка
hbm:tile.hadron_coil_chlorophyte, Плотная хлорофитовая катушка
hbm:tile.hadron_coil_mese, Плотная месе катушка
hbm:tile.hadron_power, Порт питания ускорителя частиц (1MHE)
hbm:tile.hadron_power_10m, Порт питания ускорителя частиц (10MHE)
hbm:tile.hadron_power_100m, Порт питания ускорителя частиц (100MHE)
hbm:tile.hadron_power_1g, Порт питания ускорителя частиц (1GHE)
hbm:tile.hadron_power_10g, Порт питания ускорителя частиц (10GHE)
hbm:tile.hadron_diode, Диод частиц Шоттки
hbm:tile.hadron_analysis, Стенка камеры ускорителя частиц
hbm:tile.hadron_analysis_glass, Окно камеры ускорителя частиц
hbm:tile.hadron_access, Терминал доступа ускорителя частиц
hbm:tile.hadron_core, Ядро ускорителя частиц
hbm:tile.hadron_cooler:0, Кулер ускорителя частиц
hbm:tile.hadron_cooler:1, Кулер ускорителя частиц - The Palindrome Special
hbm:tile.rbmk_rod, Топливные стержни РБМК
hbm:tile.rbmk_rod_mod, Замедляющие топливные стержни РБМК
hbm:tile.rbmk_rod_reasim, Топливные стержни РБМК (РеаСим)
hbm:tile.rbmk_rod_reasim_mod, Замедляющие топливные стержни РБМК (РеаСим)
hbm:tile.rbmk_control, Регулирующие стержни РБМК
hbm:tile.rbmk_control_mod, Замедляющие регулирующие стержни РБМК
hbm:tile.rbmk_control_auto, Автоматические регулирующие стержни РБМК
hbm:tile.rbmk_blank, Структурная колонна РБМК
hbm:tile.rbmk_boiler, Паровой канал РБМК
hbm:tile.rbmk_reflector, Карбид-вольфрамовый отражатель нейтронов РБМК
hbm:tile.rbmk_absorber, Борный поглотитель нейтронов РБМК
hbm:tile.rbmk_moderator, Графитовый замедлитель РБМК
hbm:tile.rbmk_outgasser, Стержень облучения РБМК
hbm:tile.rbmk_storage, Колонна-хранилище РБМК
hbm:tile.rbmk_cooler, Охладитель РБМК
hbm:tile.rbmk_heater, Жидкостный нагреватель РБМК
hbm:tile.rbmk_console, Консоль РБМК
hbm:tile.rbmk_crane_console, Консоль крана РБМК
hbm:tile.rbmk_loader, Паровой проводник РБМК
hbm:tile.rbmk_steam_inlet, Порт ввода воды РБМК РеаСим
hbm:tile.rbmk_steam_outlet, Порт вывода пара РБМК РеаСим
hbm:tile.pribris, Обломки РБМК
hbm:tile.pribris_burning, Горящие обломки РБМК
hbm:tile.pribris_radiating, Тлеющие обломки РБМК
hbm:tile.pribris_digamma, Почерневшие обломки РБМК
hbm:tile.red_cable, Провод из красной меди
hbm:tile.red_cable_classic, Провод из красной меди (Старый)
hbm:tile.red_cable_paintable, Окрашиваемый провод из красной меди
hbm:tile.red_cable_gauge, Датчик мощности
hbm:tile.red_wire_coated, Медный кабель с покрытием
hbm:tile.red_connector, Электрический коннектор
hbm:tile.red_pylon, Малый электрический столб
hbm:tile.red_pylon_medium_wood, Средний деревянный электрический столб
hbm:tile.red_pylon_medium_wood_transformer, Средний деревянный электрический столб с трансформатором
hbm:tile.red_pylon_medium_steel, Средний стальной электрический столб
hbm:tile.red_pylon_medium_steel_transformer, Средний стальной электрический столб с трансформатором
hbm:tile.red_pylon_large, ЛЭП
hbm:tile.substation, Подстанция
hbm:tile.cable_switch, Рубильник
hbm:tile.cable_detector, Редстоун-рубильник
hbm:tile.cable_diode, Диод из красной меди
hbm:tile.machine_detector, Детектор мощности
hbm:tile.fluid_duct_neo:0, Универсальная жидкостная труба
hbm:tile.fluid_duct_neo:1, Универсальная жидкостная труба
hbm:tile.fluid_duct_neo:2, Универсальная жидкостная труба
hbm:tile.fluid_duct_box:0, Универсальная жидкостная труба (Boxduct)
hbm:tile.fluid_duct_box:1, Универсальная жидкостная труба (Boxduct)
hbm:tile.fluid_duct_box:2, Универсальная жидкостная труба (Boxduct)
hbm:tile.fluid_duct_box:3, Универсальная жидкостная труба (Boxduct)
hbm:tile.fluid_duct_box:4, Универсальная жидкостная труба (Boxduct)
hbm:tile.fluid_duct_box:5, Универсальная жидкостная труба (Boxduct)
hbm:tile.fluid_duct_box:6, Универсальная жидкостная труба (Boxduct)
hbm:tile.fluid_duct_box:7, Универсальная жидкостная труба (Boxduct)
hbm:tile.fluid_duct_box:8, Универсальная жидкостная труба (Boxduct)
hbm:tile.fluid_duct_box:9, Универсальная жидкостная труба (Boxduct)
hbm:tile.fluid_duct_box:10, Универсальная жидкостная труба (Boxduct)
hbm:tile.fluid_duct_box:11, Универсальная жидкостная труба (Boxduct)
hbm:tile.fluid_duct_box:12, Универсальная жидкостная труба (Boxduct)
hbm:tile.fluid_duct_box:13, Универсальная жидкостная труба (Boxduct)
hbm:tile.fluid_duct_box:14, Универсальная жидкостная труба (Boxduct)
hbm:tile.fluid_duct_exhaust:0, Выхлопная труба
hbm:tile.fluid_duct_exhaust:3, Выхлопная труба
hbm:tile.fluid_duct_exhaust:6, Выхлопная труба
hbm:tile.fluid_duct_exhaust:9, Выхлопная труба
hbm:tile.fluid_duct_exhaust:12, Выхлопная труба
hbm:tile.fluid_duct_paintable, Окрашиваемая покрытая универсальная жидкостная труба
hbm:tile.fluid_duct_gauge, Труба с измерителем потока
hbm:tile.fluid_valve, Жидкостный клапан
hbm:tile.fluid_switch, Редстоун-Жидкостный клапан
hbm:tile.machine_drain, Сливная труба
hbm:tile.radio_torch_sender, Редстоун-радио передатчик
hbm:tile.radio_torch_receiver, Редстоун-радио приёмник
hbm:tile.radio_torch_counter, Редстоун-радио счётчик предметов
hbm:tile.radio_torch_logic, Редстоун-радио логический приёмник
hbm:tile.radio_telex, Телекс
hbm:tile.crane_extractor, Конвейерный извлекатель
hbm:tile.crane_inserter, Конвейерный вставщик
hbm:tile.crane_grabber, Конвейерный сборщик
hbm:tile.crane_router, Конвейерный сортировщик
hbm:tile.crane_boxer, Конвейерный упаковщик
hbm:tile.crane_unboxer, Конвейерный распаковщик
hbm:tile.conveyor, Конвейер
hbm:tile.conveyor_express, Быстрый конвейер
hbm:tile.conveyor_double, Двухполосный конвейер
hbm:tile.conveyor_triple, Трёхполосный конвейер
hbm:tile.conveyor_chute, Конвейерный желоб
hbm:tile.conveyor_lift, Конвейерный цепной лифт
hbm:tile.crane_splitter, Конвейерный разделитель
hbm:tile.crane_partitioner, Вставщик окислителя
hbm:tile.drone_waypoint, Путевая точка для дронов
hbm:tile.drone_crate, Пассивный ящик для дронов
hbm:tile.drone_waypoint_request, Логистическая путевая точка для дронов
hbm:tile.drone_dock, Дрон-станция
hbm:tile.drone_crate_provider, Ящик снабжения для дронов
hbm:tile.drone_crate_requester, Ящик запроса для дронов
hbm:tile.fan, Вентилятор
hbm:tile.piston_inserter, Вставщик
hbm:tile.dungeon_chain, Металлическая цепь
hbm:tile.ladder_sturdy, Прочная деревянная лестница
hbm:tile.ladder_iron, Железная лестница
hbm:tile.ladder_gold, Золотая лестница
hbm:tile.ladder_titanium, Титановая лестница
hbm:tile.ladder_copper, Медная лестница
hbm:tile.ladder_tungsten, Вольфрамовая лестница
hbm:tile.ladder_aluminium, Алюминиевая лестница
hbm:tile.ladder_steel, Стальная лестница
hbm:tile.ladder_lead, Свинцовая лестница
hbm:tile.ladder_cobalt, Кобальтовая лестница
hbm:tile.barrel_plastic, Безопасный бочонок™
hbm:tile.barrel_corroded, Проржавевшая бочка
hbm:tile.barrel_iron, Железная бочка
hbm:tile.barrel_steel, Стальная бочка
hbm:tile.barrel_tcalloy, Бочка из технециевой стали
